#,Question,Category,Level,Tags,Time,Answer Choices,IsAnswer
0,"What is printed to console.log?

var s = ""hello"";
console.log(s.split());",Practical,Intermediate,JavaScript,1 Minute,"[ ""hello"" ]",Y
,,,,,,"[ ""h"", ""e"", ""l"", ""l"", ""o"" ]",N
,,,,,,hello,N
,,,,,,Error is thrown,N
1,"What is printed to console.log?

var p = {
    i: 42
};
var o = Object.create(p, {
    i: {
        value: 24
    }
});
console.log(o.i);",Practical,Intermediate,JavaScript,1 Minute,42,Y
,,,,,,24,N
,,,,,,undefined,N
,,,,,,Error is thrown,N
2,"What is printed to console.log?

Object.prototype.test = 42;
var o = { i: 84 };
for (var p in o) {
    console.log(p, o[p]);
}",Practical,Intermediate,JavaScript,1 Minute,i 84 and test 42,Y
,,,,,,i 84,N
,,,,,,test 42,N
3,"What is printed to console.log?

var o = { i: 84 };
Object.freeze(o);
o.i = 42;
console.log(o.i);",Practical,Intermediate,JavaScript,1 Minute,84,Y
,,,,,,42,N
,,,,,,Error is thrown,N
,,,,,,undefined,N
4,"For the implicit arguments object available within function calls, what is one correct way to convert the array-like arguments object into a real Array instance?",Practical,Intermediate,JavaScript,1 Minute,Array.prototype.slice.call(arguments);,Y
,,,,,,Array.slice(arguments);,N
,,,,,,Array.prototype.slice(arguments);,N
,,,,,,arguments.slice();,N
5,"What is printed to console.log?

var o = {i: 42, j: 84, k: 100};
var k = Object.keys(o);
var total = 0;
for (var i = 0; i < k.length; i++) {
    total += o[k[i]];
}
console.log(total);",Practical,Intermediate,JavaScript,1 Minute,226,Y
,,,,,,ijk,N
,,,,,,ijk226,N
,,,,,,226,N
6,"Which of the answers is equivalent to the following:

var f = function (i) {
    return i;
};",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,var f = i => i;,Y
,,,,,,var f = i > i;,N
,,,,,,var f = i -> i;,N
,,,,,,var f = (i) <= i;,N
7,"What is printed to console.log?

var Animal = function (name) {
    var speak = () => name || ""Bob""
    this.speak = speak;
}
var cat = new Animal(""Tom"");
console.log(cat.speak());",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,Tom,Y
,,,,,,undefined,N
,,,,,,Bob,N
,,,,,,Error is thrown,N
8,"Which of the answers is equivalent to the following:

class Animal {
    constructor(i) {
        this.i = i;
    }
}",Practical,Intermediate,"JavaScript, ECMAScript 6",1 Minute,var Animal = function (i) { this.i = i; };,Y
,,,,,,var Animal = function (i) { var i = i; };,N
,,,,,,var Animal = function (i) { this.i = i; return i; };,N
,,,,,,var Animal = function (i) { this.i; };,N
