#,Question,Category,Level,Tags,Time,Answer Choices,IsAnswer
0,What is a statement that could be used to describe closure in JavaScript?,Theory,Intermediate,JavaScript,1 Minuteute,Functions defined within another function have access to variables declared in the outer scope.,Y
,,,,,,Functions have access to all variables defined in all other functions.,N
,,,,,,Functions return a single value.,N
,,,,,,Functions are call by object reference.,N
1,"What is printed by the console.log statements?

var f = function () {
    console.log(2);
};
setTimeout(f, 10);
console.log(1);",Practical,Intermediate,JavaScript,1 Minute,"1, 2",Y
,,,,,,"2, 1",N
,,,,,,1,N
2,"What is printed by the console.log statements?

var a = 0;
var b = 1;
var f = function () {
    a = 2;
    b = 3;
    console.log(b);
};
setTimeout(f, 10);
console.log(a);",Practical,Intermediate,JavaScript,1 Minute,"0, 3",Y
,,,,,,"0, 1",N
,,,,,,"2, 3",N
3,"What is printed by the console.log statement?

var f = function () {
    var i = 1;
    console.log(i++);
    setTimeout(f, 100);
};
f();",Practical,Intermediate,JavaScript,1 Minute,"1, 1, 1, 1, 1...",Y
,,,,,,"1, 2, 3, 4, 5...",N
,,,,,,1,N
4,"What is printed by console.log?

var f = function () {
    var i = 1;
    console.log(i++);
};
setInterval(f, 10);",Practical,Intermediate,JavaScript,1 Minute,"1, 1, 1, 1, 1...",Y
,,,,,,"1, 2, 3, 4, 5...",N
,,,,,,1,N
5,"Assuming we are in a web browser, what is printed by console.log?

window.addEventListener(""load"", function () {
    document.body.addEventListener(""click"", function () {
        console.log(2);
    });
    console.log(3);
});
console.log(1);",Practical,Intermediate,"JavaScript, Browser",1 Minute,"1, 3",Y
,,,,,,"1, 2, 3",N
,,,,,,"1, 3, 2",N
,,,,,,1,N
6,"What is printed by console.log?

var f = function () {
    console.log(42);
};
var id = setInterval(f, 10);
clearInterval(id);",Practical,Intermediate,JavaScript,1 Minute,nothing is printed,Y
,,,,,,42,N
,,,,,,"42, 42, 42, 42",N
,,,,,,Error,N
7,"Assuming we are working with idiomatic Node.js, what would be an accurate statement to make about `fs.readFile` and `fs.readFileSync`?",Practical,Intermediate,JavaScript,1 Minute,fs.readFileSync is blocking and the code will wait for the function to return before continuing.,Y
,,,,,,fs.readFile is blocking and will wait for the function to return before continuing.,N
,,,,,,fs.readFileSync will optionally take a callback.,N
8,"What is printed by console.log?

var i = 0;
setTimeout(function () {
    i += 1;
    console.log(i);
}, 100)
setTimeout(function () {
    console.log(""hi"");
}, 200);
console.log(""hello"")",Practical,Intermediate,JavaScript,1 Minute,"hello, 1, hi",Y
,,,,,,"hello, hi",N
,,,,,,"hello, 1, hi, 2, 3, 4....",N
,,,,,,"hello 0, hi",N
9,"What is the value printed by console.log?

var f = function (a, b) {
    console.log(arguments.length);
};
f(1, 2, 3);",Practical,Intermediate,JavaScript,1 Minute,3,Y
,,,,,,1,N
,,,,,,2,N
,,,,,,undefined,N
10,"What is the value printed by console.log?

var f = function (a, b) {
    return a + b;
};
console.log(f.length);",Practical,Intermediate,JavaScript,1 Minute,3,Y
,,,,,,1,N
,,,,,,2,N
,,,,,,undefined,N
11,"What is the value printed by console.log?

var Animal = function (a) {
    this.name = a;
};
var cat = new Animal(""Tom"");
console.log(cat.name);",Practical,Intermediate,JavaScript,1 Minute,Tom,Y
,,,,,,undefined,N
,,,,,,Error,N
12,"What is the value printed by console.log?

var Animal = function (a) {
    var name = a;
    this.getName = function () {
        return name;
    };
};
var cat = new Animal(""Tom"");
console.log(cat.name);",Practical,Intermediate,JavaScript,1 Minute,undefined,Y
,,,,,,Tom,N
,,,,,,Error,N
13,"What is the value printed by console.log?

var Animal = function (a) {
    var name = a;
    this.getName = function () {
        return name;
    };
};
var cat = new Animal(""Tom"");
console.log(cat.getName());",Practical,Intermediate,JavaScript,1 Minute,Tom,Y
,,,,,,undefined,N
,,,,,,Error,N
14,"What is the value printed by console.log?

var Animal = function (a) {
    var name = a;
};
Animal.prototype.getName = function () {
    return name;
};
var cat = new Animal(""Tom"");
console.log(cat.getName());",Practical,Intermediate,JavaScript,1 Minute,Error,Y
,,,,,,undefined,N
,,,,,,Tom,N
